Entity,Year,Liver cancer,Kidney cancer,Lip and oral cavity cancer,"Tracheal, bronchus, and lung cancer",Larynx cancer,Gallbladder and biliary tract cancer,Malignant skin melanoma,Leukemia,Hodgkin lymphoma,Multiple myeloma,Other neoplasms,Breast cancer,Prostate cancer,Thyroid cancer,Stomach cancer,Bladder cancer,Uterine cancer,Ovarian cancer,Cervical cancer,Brain and central nervous system cancer,Deaths - Non-Hodgkin lymphoma - Sex: Both - Age: All Ages (Number),Deaths - Pancreatic cancer - Sex: Both - Age: All Ages (Number),Deaths - Esophageal cancer - Sex: Both - Age: All Ages (Number),Deaths - Testicular cancer - Sex: Both - Age: All Ages (Number),Deaths - Nasopharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Other pharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Colon and rectum cancer - Sex: Both - Age: All Ages (Number),Deaths - Non-melanoma skin cancer - Sex: Both - Age: All Ages (Number),Deaths - Mesothelioma - Sex: Both - Age: All Ages (Number)
El Salvador,60135,2963,1728,1448,12960,1045,3562,265,7803,939,789,331,7211,11296,863,24034,1402,1794,2432,13341,3934,3162,5334,2287,236,300,500,10276,724,63
England,60135,77464,98881,37251,972419,22999,26379,53495,127847,9438,78487,44088,394306,321850,10642,209332,156890,40734,129480,44143,95498,135788,238180,207074,2620,5789,16681,525801,17379,55951
Equatorial Guinea,60135,293,122,192,1316,111,88,52,493,45,97,33,1147,733,41,730,235,110,158,1214,199,397,337,815,23,44,52,916,39,30
Eritrea,60135,1818,589,1533,4227,884,613,653,3518,781,590,114,6509,3641,474,5985,1164,878,1303,11243,1286,1885,1267,7776,122,1029,556,4339,181,158
Estonia,60135,2323,3271,1674,22899,1322,1258,1345,3961,295,1300,489,7864,6062,479,11987,2952,1465,3585,2625,2729,2125,6864,1983,100,247,1073,13811,594,116
Eswatini,60135,2480,242,484,2449,337,143,185,726,80,290,61,1739,1699,80,1338,303,252,449,2419,311,670,939,2491,30,116,129,1528,67,154
Ethiopia,60135,27216,9512,16755,48427,10913,12567,5120,165552,13577,6913,2037,83205,42193,20689,80561,17837,7983,15548,100953,27097,10343,10342,28157,1601,12656,3143,53362,3643,2005
Europe & Central Asia (WB),60135,1470510,1463062,861694,12632132,824108,868526,631491,1956396,185126,812022,434781,4754840,3345635,219984,5127088,1938130,762113,1525411,1053810,1501642,1409773,3450819,1564226,67091,133187,498620,7917295,291144,300862
European Region (WHO),60135,1484282,1472635,865343,12719498,829773,873586,639968,1976943,186876,820526,438789,4802121,3370947,222436,5161639,1954862,767961,1537540,1060267,1518062,1427891,3484094,1569853,67652,134032,499706,7982969,294097,301996
Fiji,60135,898,117,318,1517,113,175,58,1312,75,145,64,2929,961,195,1076,238,370,167,2072,304,362,515,360,76,69,63,1389,71,42
Finland,60135,10281,11812,3618,66487,1325,7163,5317,10969,818,8084,3559,29113,28123,1737,20356,9018,5634,11514,3034,10596,14580,30361,7463,193,297,1410,38035,1395,2534
France,60135,191056,122107,80224,1009350,63160,54005,53227,185323,10074,95208,63917,429211,375504,18533,217982,187947,51135,122374,54377,100926,154537,298341,157255,3956,14954,63562,656955,22830,35592
G20,60135,10155897,2813443,3043520,37903035,2208587,3053306,1163115,6307496,499999,1943436,982061,11159226,7527170,697018,21632561,3921640,1672960,3279389,4220519,4393687,4262399,8457799,10757148,180677,1339030,1873367,18712326,879965,563499
Gabon,60135,825,406,660,4456,443,287,163,1036,107,345,107,3315,2395,131,2240,940,316,516,2723,465,1091,1354,2676,57,154,189,3047,111,65
Gambia,60135,7539,164,256,1312,124,182,57,730,99,115,60,1002,687,52,1005,303,149,251,1738,225,192,476,369,34,48,54,1010,62,29
Georgia,60135,5219,3892,2980,46445,6352,2259,2359,7571,2197,1178,363,27691,10600,756,26742,6742,6533,4436,7586,5992,3100,8149,2861,930,543,1162,19252,1262,231
Germany,60135,170726,191710,86920,1442910,52045,154651,75744,218912,13885,112335,71448,607519,455721,28547,455975,217032,76710,197912,89305,182673,193217,488612,165698,6729,8951,71387,1154117,20298,37896
Ghana,60135,20529,3713,2453,26756,4325,3434,747,15252,631,2521,958,50017,42705,591,26711,8480,4620,5641,38271,12206,21831,21957,10533,369,756,721,21840,1022,574
Greece,60135,16824,19317,6196,234005,11757,10701,5357,41566,6459,12869,9227,70942,63657,2990,62619,42566,8280,20474,9817,34785,12860,59044,9925,822,2202,1287,92752,4922,1936
Greenland,60135,87,86,60,1309,30,30,27,60,0,30,0,202,75,0,203,63,0,85,100,90,71,273,214,0,108,60,447,0,11
Grenada,60135,107,39,76,373,34,71,26,131,0,78,22,389,837,30,309,66,130,81,259,59,257,171,175,0,19,34,404,19,0
Guam,60135,194,58,57,1216,30,30,0,151,0,37,23,318,253,20,227,58,53,73,125,53,124,176,93,0,101,8,490,17,0
Guatemala,60135,10752,2990,2261,18598,1824,5882,692,15008,1236,1269,638,11439,21132,1468,67282,2024,3563,2789,23515,5621,4234,7848,4553,964,621,936,15355,2399,193
Guinea,60135,47159,1335,5157,13309,1606,1646,1516,5407,1581,954,413,12595,19616,605,22225,7611,1651,2452,28982,1579,1365,2090,2619,273,441,625,8437,449,181
Guinea-Bissau,60135,1192,209,311,2031,295,226,72,1168,110,148,45,1952,1415,63,3079,489,231,259,3269,401,771,576,918,30,84,68,1271,49,30
Guyana,60135,511,302,243,1199,184,270,66,700,84,144,42,2045,2991,102,1502,226,505,548,2092,197,468,642,298,23,50,100,1812,76,59
Haiti,60135,7225,2085,3258,17107,3600,3800,1196,15670,1345,3722,555,23707,28072,1238,24973,3508,4569,2343,28839,4951,6752,2741,5416,159,1222,1609,13379,920,529
Honduras,60135,16079,1648,1515,22138,1319,2341,268,10241,248,1527,720,7366,8804,3071,16405,1427,2251,2146,7582,3117,2556,3711,1691,163,189,583,6844,668,314
Hungary,60135,20835,26332,26244,260836,18492,26105,11298,29993,2106,9757,6158,69260,42526,3197,66971,28692,11865,22085,16978,21158,17387,57862,21302,1586,2850,19925,158917,5498,1047
Iceland,60135,298,669,165,3641,60,156,200,472,30,366,102,1245,1561,148,922,521,139,444,157,643,402,1065,484,0,30,44,1708,41,88
India,60135,606387,139913,1264488,1569885,643301,485167,36180,833768,126125,162805,48025,1438904,568980,133888,1835719,257425,129420,344849,1030882,521503,472789,462082,806234,38269,253374,1054433,1272325,59995,41019
Indonesia,60135,107269,48667,84819,929437,45637,43176,10241,281361,14813,28816,11091,563000,203582,41391,317774,61621,69978,109499,221295,114256,117000,164019,107642,5713,73099,23924,533750,30039,6208
Iran,60135,45746,14864,9030,152605,29917,14918,7485,109048,6831,11818,2315,80615,63845,5557,229714,29970,5287,17242,16130,68983,29808,44257,62542,1387,3058,2940,103042,4797,751
Iraq,60135,20947,6389,4101,65767,10081,3800,1009,42714,3268,3416,562,50405,13880,2558,24184,19750,3545,7269,5978,32920,14600,16870,5082,643,1815,1727,28560,1511,1287
Ireland,60135,4560,5942,2726,55111,1840,2390,3351,7987,642,5258,2529,21697,18496,726,13465,6237,2258,7996,2759,7228,8203,15229,11219,207,336,1182,33432,1807,1072
Israel,60135,6480,7841,2202,55247,2303,2989,5952,16353,1122,7475,3618,34381,18223,1962,19233,11895,3557,8723,3465,10813,15847,25033,4190,192,591,463,48516,2202,921
Italy,60135,194128,121902,58838,1065388,59624,114587,51726,186887,14724,96495,54186,403688,283762,20114,420187,225049,39633,115667,38546,110880,162236,340176,77927,3472,10079,25597,645370,21479,41959
Jamaica,60135,1833,865,813,13263,894,1120,274,3090,157,1807,398,9642,18776,401,7818,1702,2014,1622,5961,906,3728,2791,2021,45,318,442,10060,277,142
Japan,60135,978747,166435,103569,1996854,34245,517638,17641,249076,6040,120553,83429,377625,319405,47983,1664811,213546,70985,147534,112696,68497,294618,776970,354632,3763,23048,56688,1416348,28889,33555
Jordan,60135,2105,995,957,11993,984,1307,198,7839,213,903,167,10475,3367,550,4813,2549,907,1586,1178,3527,4908,3488,997,185,608,265,10138,386,188
Kazakhstan,60135,35423,15618,11064,128189,10576,5208,5742,18774,3202,2497,922,46422,13489,3245,92230,10956,9896,15766,25568,10732,8872,19462,49529,1211,1901,5343,58100,1909,1974
Kenya,60135,14528,2634,15130,22543,6169,5173,2272,17756,3252,5068,1139,37026,31353,1214,40049,5012,2662,8282,33039,9764,14704,9681,50238,241,8652,3778,26149,1849,987
Kiribati,60135,210,43,169,295,0,30,0,97,0,4,0,303,61,0,272,30,42,22,696,30,49,34,119,34,30,0,149,0,0
Kuwait,60135,845,541,291,3710,266,407,70,1982,109,328,84,2745,1593,196,1429,1150,297,607,365,958,1402,1582,537,28,139,110,3123,120,72
Kyrgyzstan,60135,2258,1949,1839,17162,1371,1181,641,4583,403,541,179,8740,2925,469,23985,1754,1835,2677,6915,2788,1518,4720,6022,229,413,776,9531,986,98
Laos,60135,7514,950,2077,21232,1295,1118,310,9107,476,729,218,10981,4066,1069,9642,1440,1630,2230,6419,3267,2745,2446,2628,125,1958,531,9995,577,137
Latin America & Caribbean (WB),60135,369714,314053,234962,2177869,267917,442328,117211,703593,67456,199068,76221,1251039,1434487,92125,1856930,295968,187398,321752,921784,457686,449864,776579,526654,47212,33576,124566,1538930,140372,39698
Latvia,60135,3176,4932,3062,34444,2856,1447,1940,6065,517,1835,911,13607,9482,773,19590,5547,3174,6521,3974,4532,2980,11412,3548,223,417,1591,21837,1121,238
Lebanon,60135,3410,2060,1421,28664,3630,2363,676,7933,1402,2922,284,19174,11639,718,8594,11567,1538,3804,1697,3738,3288,5274,1347,122,569,425,16997,427,51
Lesotho,60135,4156,332,1157,5606,902,361,458,1480,177,617,122,4272,4842,175,3910,698,586,914,5950,619,1106,1420,4978,58,315,287,2870,191,460
Liberia,60135,2701,425,578,3849,524,471,147,2124,179,349,116,3724,4470,129,5450,1302,459,597,5437,775,1333,1503,1867,36,144,129,2457,136,56
Libya,60135,4586,1807,1003,17704,2548,2150,231,6110,1400,1290,234,7905,3754,440,5239,4306,770,2057,2056,4342,2765,5291,1150,87,2412,246,11277,388,66
Lithuania,60135,4044,7325,4692,45381,4422,2922,2459,8694,755,2963,1317,17002,13815,937,26851,7516,4456,9185,6331,6383,4033,14154,5303,198,516,2826,28590,1157,391
Luxembourg,60135,800,430,418,7673,307,312,426,1371,64,602,205,3031,2012,164,1625,1109,480,1053,306,1064,924,2187,850,30,90,274,4736,121,185
Madagascar,60135,6184,1918,4559,13974,2515,1847,2101,11625,2371,1926,415,20521,17128,1477,17125,4244,2521,4125,33167,4324,6052,4351,24403,386,3072,1665,13722,778,408
Malawi,60135,6086,3726,2739,9137,918,992,3047,8174,1489,936,355,14329,8707,1155,6062,10678,1154,2817,26927,3577,10253,3684,39598,308,585,321,7835,669,326
Malaysia,60135,33049,6307,11725,97636,6003,5668,1728,31094,1686,4003,3784,61446,18360,4458,35980,11215,5973,12162,24790,10622,22356,14978,12051,906,28106,4048,76243,2488,500
Maldives,60135,292,46,141,519,58,42,14,276,30,42,31,378,172,41,234,90,31,138,160,158,129,172,125,0,5,36,389,16,30
Mali,60135,28723,1890,1929,11952,1796,1721,973,7405,776,1048,469,15263,8630,631,33646,15179,1463,1563,20748,2346,1594,4829,4604,200,296,541,11687,515,203
Malta,60135,411,571,249,4510,247,197,204,806,90,375,252,2695,1267,116,1377,935,335,814,222,648,769,1719,459,30,151,107,2988,103,176
Marshall Islands,60135,81,0,15,196,0,0,0,60,0,0,0,143,61,0,129,12,26,16,99,30,30,22,25,0,15,0,76,0,0
Mauritania,60135,2301,451,555,4449,396,472,156,1812,136,324,154,3936,4472,128,5009,1168,576,744,5071,602,1425,2088,1746,40,114,137,3158,144,60
Mauritius,60135,612,393,859,4396,473,453,55,1216,97,294,99,3601,1839,129,3212,707,728,851,1408,551,581,1581,958,30,267,173,3686,101,31
Mexico,60135,70678,58699,21287,238844,26968,67645,14800,129148,15617,24586,14423,153884,175022,16877,222951,30872,15584,59820,167087,58588,66608,122237,34351,14031,3652,5639,167216,24936,6450
Micronesia (country),60135,189,27,34,490,30,30,0,127,0,30,0,351,140,26,299,31,61,45,202,45,58,74,60,0,30,0,189,2,0
Middle East & North Africa (WB),60135,427236,69840,53057,768911,113129,91991,24960,416918,39250,66722,15106,537589,241051,31447,523096,231077,39769,95121,111661,244325,192413,223480,138319,5555,53912,22355,487501,20739,6051
Moldova,60135,5429,3310,4128,31805,4459,1579,1490,5202,1260,1058,273,15796,6221,685,20015,4738,2966,3968,6985,4776,3407,10936,2917,312,1020,3336,26122,1192,167
Monaco,60135,161,106,27,1467,90,30,49,236,30,275,0,429,317,30,220,242,30,190,30,92,354,433,138,0,0,0,662,0,30
Mongolia,60135,41187,835,1367,14250,556,1518,69,1908,145,256,62,2720,1026,247,23279,621,681,1055,4187,1715,1342,2046,9632,14,163,267,3611,144,85
Montenegro,60135,1641,691,505,13008,1278,401,384,1098,221,249,43,3536,2293,165,2073,1038,423,750,705,1707,558,2240,569,85,30,169,3761,122,30
Morocco,60135,12290,4250,7531,99292,19138,8012,1947,18151,6267,6786,1219,85710,21063,4681,30120,11514,5218,14970,30645,10813,25653,17142,9364,367,14982,4050,44011,2167,357
Mozambique,60135,8324,2203,3605,16839,4108,2682,2667,20677,3396,2972,565,23415,8355,2026,16389,6292,3131,5460,41510,6700,8965,6157,17641,457,377,1366,14581,1147,605
Myanmar,60135,34174,10042,21745,234033,13089,11403,3104,84232,4457,7264,2348,160562,44023,10849,97550,16016,16857,27358,66408,29659,115950,29814,27277,1131,19355,5159,103847,5971,1902
Namibia,60135,974,451,1526,2273,879,216,921,929,207,346,171,4597,3743,141,1230,547,386,593,2927,590,1174,884,848,82,196,451,2146,180,375
Nauru,60135,0,0,0,30,0,0,0,11,0,0,0,30,0,0,30,0,0,0,30,0,0,0,0,0,0,0,29,0,0
Nepal,60135,9043,2528,19028,32797,10799,9498,790,17049,2723,3129,910,38411,12151,2752,37258,4790,2614,7636,23547,10123,8610,7817,19784,510,4829,14046,17323,1259,707
Netherlands,60135,17127,33907,11462,324725,7947,15862,19283,40621,2635,25590,13263,119188,90037,3722,69289,45331,13499,35106,10296,26055,41967,79161,49577,899,1973,5846,178067,3570,15091
New Zealand,60135,5181,5579,2228,47985,993,2361,8452,9044,557,5140,3022,20563,19214,1035,10162,5898,2791,6046,2534,6648,9033,12057,7077,271,543,964,39189,3097,2299
Nicaragua,60135,2818,1349,724,7068,1090,2884,333,5391,390,604,388,5194,9140,565,13600,907,640,1456,9800,2290,2101,3733,1048,221,243,347,7182,743,77
Niger,60135,981,1247,1652,11556,1378,1381,358,9820,587,914,311,8386,10881,67,18168,3014,1362,1232,20589,3323,1825,2588,5007,184,207,356,6530,382,153
Nigeria,60135,64188,19235,12423,128597,24464,13059,8956,79371,31639,14668,6067,220679,311654,3805,76804,17077,6151,24151,131635,46821,39733,52659,17449,961,18816,3650,119342,5007,1674
Niue,60135,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North America (WB),60135,457968,493784,217205,5903697,143828,160854,304104,843744,49498,448314,258401,1651882,1331947,60344,612547,561567,238692,556045,222305,530788,851450,1329266,532388,15092,33135,77548,2380597,104824,92905
North Korea,60135,88063,6327,8626,202705,7837,13541,2649,39083,1909,5043,1127,53569,16613,3946,193139,11975,9330,9842,38154,25340,14956,24605,70559,525,13711,2208,74300,4863,1233
North Macedonia,60135,6965,1250,1265,28919,3136,1912,2336,3443,546,689,141,10412,5898,377,14148,3963,1974,2669,2868,5042,1577,6800,1191,345,222,579,14619,651,58
Northern Ireland,60135,2419,2226,1231,30049,754,807,1544,3866,305,2392,1206,11101,8517,348,6202,3948,1210,3840,1353,3083,3978,6928,5844,99,191,468,15394,506,1565
Northern Mariana Islands,60135,77,22,58,426,0,0,0,64,0,23,0,145,69,0,121,16,28,19,92,29,32,63,18,0,34,15,151,0,0
Norway,60135,4888,9947,3123,62281,1293,3211,7950,7588,555,8954,2540,25792,36694,1267,16831,12554,4191,10776,4176,9864,11452,22148,5906,279,265,1235,55629,1319,2624
OECD Countries,60135,2934290,1803485,910359,17887310,693317,1611199,847609,2757572,182456,1348299,795146,5712932,4742942,297381,5743500,2382525,795804,1892431,1090634,1776142,2488435,4992869,2094393,77240,156460,474515,10055560,377232,419940
Oman,60135,1629,380,466,3070,269,347,88,2061,278,494,104,2489,1165,144,2883,581,126,521,561,1013,2084,1306,746,17,159,146,2652,204,178
Pakistan,60135,86680,23601,358640,392612,152374,78337,10920,146375,53024,33085,6051,586040,107093,26863,167116,121633,48465,103433,65734,85143,54140,52400,193126,15155,40981,93038,163183,7821,3621
Palau,60135,50,0,64,189,0,0,0,0,0,0,0,75,52,0,55,0,0,0,76,0,0,45,0,0,0,0,52,0,0
Palestine,60135,2985,599,315,8795,455,665,84,4161,389,607,80,5368,2459,265,3375,1336,794,817,693,4094,1560,2049,504,14,135,84,6619,215,30
Panama,60135,2261,1252,1000,9120,1061,1226,381,3968,209,1078,592,5580,9370,458,10391,1125,934,1477,5479,2200,2408,3203,1265,147,236,496,7794,412,84
Papua New Guinea,60135,1230,475,1463,17668,692,741,383,6499,371,705,311,22315,5708,514,12310,1100,1472,1066,7407,2489,896,1300,1636,90,1280,264,5577,452,204
Paraguay,60135,2173,1767,1782,16084,1511,1970,804,6222,501,989,305,10068,10761,840,11185,1372,2098,1892,11550,2295,2997,5176,4109,385,198,1054,10672,1139,196
Peru,60135,22478,12899,5426,72750,4483,25650,4019,35627,2055,7972,1197,39697,60295,5410,133658,8554,10241,14071,50841,23647,28628,27663,9240,2728,916,1625,55376,4890,1933
Philippines,60135,117183,18771,33419,296658,14865,10042,4450,103158,3327,8925,3406,193938,83809,19978,78067,14939,21574,46249,67188,43674,43309,53801,21441,3034,30732,7212,194953,8114,2216
Poland,60135,46514,74762,44393,782733,56087,69337,36229,88729,11168,34571,14595,197582,140200,11477,224265,105482,40689,87222,76079,87204,52890,168198,56389,5116,6161,22356,403474,18764,4539
Portugal,60135,20468,11794,11763,118630,13351,10936,6177,27099,1889,14018,9546,60260,64765,3350,97624,27716,9839,13562,12282,22012,22973,41772,20051,598,2314,6960,124740,5254,1228
Puerto Rico,60135,5350,2859,2813,22103,2237,1392,777,6842,678,4430,1166,15157,21049,687,11278,4306,2248,3303,3332,2533,6608,8736,5933,168,602,1403,25147,1317,305
Qatar,60135,1135,264,118,1519,208,140,33,843,55,124,26,1188,352,49,669,175,51,227,155,503,557,533,301,11,58,47,1069,33,15
Region of the Americas (WHO),60135,822147,804767,449196,8057799,409379,601682,420420,1540213,116252,642683,333390,2886740,2743664,151741,2457619,853012,423691,874203,1140493,985778,1294384,2096513,1052822,62136,66066,200619,3892871,243837,132257
Romania,60135,22664,23828,27813,287060,30056,17309,11053,36339,4887,9833,2449,97333,59450,4852,126819,43947,16099,31886,62292,40455,21128,82995,20906,2538,5419,19443,168960,13127,1805
Russia,60135,146106,267767,172722,1798280,168348,95400,92459,234638,38302,64294,16219,689346,278787,37143,1315938,220495,178914,256902,224111,198362,130066,501201,245439,12075,18074,84176,1176567,51430,17422
Rwanda,60135,5862,1301,3035,8918,1997,1272,1189,7120,1411,1498,285,14183,9830,958,10559,2548,1626,3400,19821,2863,3927,3211,15441,225,1997,1061,8402,486,299
Saint Kitts and Nevis,60135,68,34,31,138,30,33,0,60,0,38,0,247,443,3,157,38,53,43,141,22,65,90,61,0,1,9,219,16,0
Saint Lucia,60135,116,66,116,501,87,66,32,191,30,150,25,514,1269,32,565,129,99,117,365,66,240,245,183,0,32,40,446,18,0
Saint Vincent and the Grenadines,60135,106,49,107,281,75,40,27,155,24,42,30,442,928,30,363,72,109,75,348,49,204,138,68,0,21,38,359,22,0
Samoa,60135,191,30,49,387,30,32,60,192,60,30,25,421,200,30,456,69,78,137,242,66,90,146,60,4,62,3,329,30,0
San Marino,60135,38,33,30,477,30,37,36,119,0,51,17,154,192,14,333,136,0,30,16,86,144,153,30,0,0,0,353,0,9
Sao Tome and Principe,60135,66,30,23,399,30,59,0,93,0,23,0,219,181,0,408,95,54,64,384,5,75,49,91,0,0,0,274,0,0
Saudi Arabia,60135,15510,4047,3597,27516,2447,4841,702,16313,1756,2975,626,23431,10426,2056,15111,4484,1868,5217,4055,10781,15698,11613,5614,285,4120,1303,26712,915,269
Scotland,60135,10313,10480,14979,127835,3207,2687,5136,14813,1040,7702,4247,37248,27921,1061,21289,15934,5913,13177,6801,11620,14802,22458,25052,301,1704,3793,76735,1941,5322
Senegal,60135,3513,1600,2105,17214,1722,1677,572,7718,657,1114,497,15713,16948,423,19748,4296,1675,2194,17508,2746,5368,5382,6318,176,479,493,10901,521,223
Serbia,60135,26464,14324,10867,187694,15306,11891,8777,20379,2496,6064,2297,63722,34005,2348,47180,22862,9327,15618,22029,26675,11832,38542,10570,1256,1493,7044,98271,5233,892
Seychelles,60135,137,36,162,418,112,30,15,156,0,39,0,289,446,0,190,103,36,100,234,108,127,139,133,0,48,80,507,0,0
Sierra Leone,60135,4081,806,1015,7310,939,811,248,4383,301,522,208,6067,7222,196,9841,2070,770,871,9254,1641,2418,2002,2875,76,236,222,4346,229,84
Singapore,60135,11681,2634,1503,32881,996,1701,297,4229,142,1201,872,10565,4033,664,11234,1971,1202,3277,2823,1813,4153,7021,3140,58,4377,825,22194,372,531
