Entity,Year,Liver cancer,Kidney cancer,Lip and oral cavity cancer,"Tracheal, bronchus, and lung cancer",Larynx cancer,Gallbladder and biliary tract cancer,Malignant skin melanoma,Leukemia,Hodgkin lymphoma,Multiple myeloma,Other neoplasms,Breast cancer,Prostate cancer,Thyroid cancer,Stomach cancer,Bladder cancer,Uterine cancer,Ovarian cancer,Cervical cancer,Brain and central nervous system cancer,Deaths - Non-Hodgkin lymphoma - Sex: Both - Age: All Ages (Number),Deaths - Pancreatic cancer - Sex: Both - Age: All Ages (Number),Deaths - Esophageal cancer - Sex: Both - Age: All Ages (Number),Deaths - Testicular cancer - Sex: Both - Age: All Ages (Number),Deaths - Nasopharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Other pharynx cancer - Sex: Both - Age: All Ages (Number),Deaths - Colon and rectum cancer - Sex: Both - Age: All Ages (Number),Deaths - Non-melanoma skin cancer - Sex: Both - Age: All Ages (Number),Deaths - Mesothelioma - Sex: Both - Age: All Ages (Number)
Uganda,60135,18679,4086,7818,19377,4709,2704,3392,16167,4268,4696,702,37262,48535,2384,28223,6310,5200,9010,45209,6465,7831,10339,44326,637,7992,4616,26086,1056,541
Ukraine,60135,42476,80762,65016,643799,67110,28112,34575,107687,14315,18091,4185,294206,127982,11453,424111,73088,56048,77241,96265,72399,38440,142806,63788,4098,8564,37175,443681,14896,9190
United Arab Emirates,60135,2154,2272,901,5980,1646,790,350,4291,698,886,202,5217,1420,457,3241,1831,210,887,1096,4150,4062,6241,3640,214,433,340,5267,236,60
United Kingdom,60135,95506,117724,55967,1194211,28532,31643,63607,154870,11405,93574,52385,467723,378617,12762,251915,186478,50765,154896,55269,116234,163107,282977,252107,3198,8053,22135,653872,21000,65879
United States,60135,413991,448857,189592,5327170,129990,137697,276096,769078,45505,406177,234823,1487122,1178244,53725,535030,495759,217813,503060,203026,477366,768173,1206647,479922,13818,29741,68756,2128612,95203,79496
United States Virgin Islands,60135,115,141,87,893,79,72,71,177,0,196,42,640,1197,21,391,75,93,191,202,109,204,357,160,0,30,66,944,18,26
Uruguay,60135,2686,8462,3177,49502,4463,6948,2052,8017,669,3885,1339,26452,22836,787,19049,8056,2204,4928,6832,4548,7676,17776,10325,490,509,1505,38703,815,332
Uzbekistan,60135,19583,7104,8979,64273,11042,2835,2049,33118,3449,2639,734,46946,9439,991,79305,7091,6961,7640,26545,27916,10738,13157,42125,1270,2733,4524,34334,2382,573
Vanuatu,60135,316,26,61,755,34,36,20,226,15,37,10,402,302,27,521,51,75,42,314,89,80,79,82,0,51,7,261,24,8
Venezuela,60135,13540,13187,7535,102575,12175,11162,2901,27528,3561,7790,4483,48982,68732,3113,72533,9347,7626,12040,49972,10878,18138,25063,10918,1202,1589,2860,52968,8858,632
